destination_actual_icao,braking_coefficient
VOMM,0.014452767
VIDP,0.025775285
VOBL,-0.065380004
VOCL,0.028658436
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
VOBL,0.009086247
VEGK,-0.015008568
VOML,0.01320821
VECC,0.064805008
VABB,-0.038930265
VABB,0.007196353
VEDG,0.007478251
VABB,0.05061508
VIDP,0.03823171
OMRK,-0.110190078
VOBL,-0.006637205
VOPB,0.070017358
VABB,0.087900781
VIAR,0.086485987
VIDP,0.062732619
VECC,0.047366859
VOGO,0.001571627
VIJU,-0.008841787
VABB,0.027119837
VIJU,0.001383495
VABB,0.090897524
VIDP,0.072892023
VEBD,0.034841632
VIDP,0.010850889
OMRK,0.000604054
VOMM,0.056894168
VIDP,0.112577738
VIDP,0.05228309
VEPT,-0.021627088
VECC,0.06549227
VECC,0.023991441
VABB,0.056855597
VOBL,0.065129808
VABB,0.00240229
VABB,0.013547804
VAAH,0.028028424
OMDB,0.014347114
VIDP,0.002137633
VOGO,0.081900704
VIDP,
VOGO,0.037830946
VAUD,0.012021156
VEPT,-0.024435641
VIDP,0.088061383
,
VIDP,0.030977315
VOBL,-0.002341505
VIDP,0.006485881
VABB,0.030876987
VOBL,-0.023212951
VABB,-0.048475127
VABB,-0.011748008
VOBL,0.010776358
VOBL,0.003158385
VOMM,0.04056918
VEGT,0.021013046
,
VOMM,0.048134364
VOCI,-0.072228246
VECX,0.115942535
VIBN,
VABB,0.024623307
VOMM,0.086106924
VOML,0.026419778
VOBL,
VOHS,0.068437266
VECC,-0.032212168
VIDP,-0.018602852
VIDP,0.013350655
VIDP,0.071914775
VOML,0.000395752
VOBL,0.023366653
VEBD,0.018761575
VIDP,0.027083904
VIDP,-0.047678896
VABB,0.008927315
VEPT,-0.060247532
VOPB,0.059321083
VOBL,-0.002127716
VIDP,0.080925356
VOBL,
,
VIDP,0.002914365
VOMM,0.073349059
VABB,0.035745661
VOBL,0.124040149
VABB,0.052131802
VECC,0.018078122
VABB,
VABB,-0.028968257
VILH,
VOBL,0.027627847
VECC,0.100365541
OMDB,
VABB,0.109444805
VECC,
VGHS,0.002420804
VOPB,-0.020654428
VOMM,-0.037499311
VABB,0.095012696
VOTP,0.067247613
VOGO,0.048754047
VOGO,-0.002904833
VIDP,
VABB,0.061457494
VOMD,0.053469745
VECC,0.099597331
VIDP,0.01725132
VIDP,0.050842367
VILH,0.094636241
VOCI,-0.036012677
VECC,-0.033149717
,
VEGK,0.030830075
VABB,0.049646683
OMDB,0.039062945
VABB,0.009424368
VABB,0.030594161
VIDP,0.002573929
VIDP,0.084016211
VAPO,0.073070844
VABB,
VIDP,0.051029003
VEGT,0.054807462
VAAH,
OMDB,0.112861626
VIDN,-0.028352101
VILH,0.05541369
VVNB,
VAPO,0.084062395
VAPO,-0.018048817
VECC,0.031645059
VOBL,0.028969622
VOML,0.037601467
VECC,0.055029077
VOBM,0.024348355
VABB,
VOMD,0.021314258
VABB,-0.010167388
VISR,-0.004794187
VOCI,0.020390363
VIDP,0.020523347
VIDP,0.044381983
,
VEGK,-0.033101498
VABB,0.019671302
VIJP,0.098433986
VOPB,0.023279388
VIDP,
VEPT,0.014444805
VVNB,-0.045168394
VIDP,-0.059504307
VIBN,
VEGT,0.027820346
VEPT,0.025926872
VEGK,-0.027481331
VILK,0.037763977
VOMD,0.007187926
VIDP,0.053078895
OERK,-0.026408359
VIDP,0.049838326
VOBL,0.075815883
VABB,0.020890146
VAPO,0.037585534
VABB,-0.035902975
VABB,-0.011772104
VISR,0.063767993
VAAH,0.124648954
VABB,0.035853995
VEPT,-0.022353284
VABB,0.038833565
VISR,0.054449919
VISR,-0.03866973
VAAH,0.027456155
VASU,-0.042830922
VOMM,0.016144556
VABB,0.086205668
VIDP,0.061945145
VOMM,-0.011462908
VOHS,0.026717099
OMDB,0.086892284
VIDP,0.02990623
VEGK,0.055666453
VECC,0.043534101
VABB,0.052179007
VABB,-0.058467869
VOMM,0.090696042
VIDP,0.005046892
VECC,0.043139753
VOGO,0.062819781
VISR,0.014496375
VISR,0.024924114
OMDB,0.083166348
,
UDYZ,0.014796079
VOMM,0.080192795
VILH,0.047607224
VOBZ,0.047714947
OMDB,0.041686327
VGHS,0.048951664
VECC,0.00842336
VOBL,0.029745843
VEPT,0.017573593
VOGO,0.025894789
VISR,0.007579936
VIDP,
VEGT,0.050404523
VABB,-0.007715911
VGHS,0.047152891
OMRK,0.009330883
VECC,-0.004496092
VABB,0.011950906
VECX,0.120800076
VABB,-0.00083415
VEPT,-0.013208327
VABB,0.018448805
VECC,0.042403019
VIDP,0.095830748
VIDP,0.023111642
VABB,
VILH,0.036703421
VABB,0.042063037
VOMM,0.027659381
VOMM,0.050212186
VOCL,-0.029043753
OMDB,
VIDP,
VIDP,0.043913868
VECC,-0.076984066
VAPO,-0.029896286
VAPO,0.087701359
VOBL,-0.029549523
OEJN,-0.019998645
VABB,-0.033358117
VIDP,0.058315226
VECC,0.092748068
VECC,0.026887714
VOBL,-0.005874894
VEPT,-0.08725914
VABB,0.044215618
VOBL,0.028934359
VABB,0.017207249
VEGT,0.020830121
VABB,0.036958604
VOPB,0.004917757
VIDP,0.031503246
VIDP,-0.046933144
VIDP,-0.034212359
VOMM,0.019885859
VASU,-0.027421785
VECX,0.046307357
VABB,0.02795879
VIDP,-0.043318342
VIJP,-0.000764027
VABB,
VOGO,0.01336982
OMDB,
VASU,-0.000147878
VILK,0.019055713
VIDP,0.034322135
VOMM,0.067240364
VAUD,0.026925091
,
VIJP,-0.000138779
VECC,0.065973544
VABB,0.023965877
VABB,0.009073452
VISR,0.044240948
VEPT,0.00199075
VEGT,0.049685528
VECC,0.055301888
VIDP,0.022170281
VECC,-0.023683004
VEGT,0.002875062
VABB,0.10643211
VABB,-0.013950628
VGHS,0.039306958
,
VIDP,-0.01649959
VOGO,0.043125962
VISR,0.056464819
VEPT,0.000265147
VIJU,-0.047019085
VILH,0.063328504
VOMM,0.074529908
VAPO,-0.01644403
VABB,0.008522588
VIDP,0.02102683
VOHS,0.019656361
VABB,0.016157947
VIJU,0.026389925
VEGK,0.058359577
VIDP,-0.01441452
VIDP,0.061285466
VIDP,-0.02966919
OMRK,0.010890937
OMDB,
VOGO,-0.019545099
VEGK,0.080677621
ZHHH,
VECC,0.039918894
VIDP,0.040537521
VEBD,-0.071096066
VEPT,-0.042935247
VOMM,0.099494038
VOMM,
VOCI,0.022837197
VABB,0.043359958
VIDP,0.036841488
VOMM,0.070311479
VECC,0.083184234
VABB,0.052852293
VILH,0.045396084
VOBL,0.093841837
VAAH,-0.013152391
VAPO,0.076557448
VOBL,-0.020328557
VIDP,0.070437855
VISR,0.023715291
VIDP,0.061810643
VIDP,0.036826926
VABB,0.116765392
VIDP,0.031296373
VEPT,0.069266798
VOBL,0.03242627
VEBD,0.055707977
VEKU,-0.05625376
VOMM,0.035060819
VAUD,-0.026677589
VISR,
VABB,0.042923709
,
VIDP,0.043484477
VIDP,0.014809983
VOGO,
VIDP,0.034502835
VIDP,0.074802765
VIDP,0.053798176
VHHH,0.032106081
VOBL,0.02650528
VABB,0.134794715
VIDP,0.036343551
VIDP,0.055918157
VEGT,0.055072999
VIDP,0.076369569
VIDN,-0.064042734
VEBD,-0.022184207
VISR,0.035109086
VIDP,0.053524373
VECC,0.051860356
VILH,0.046931434
VECC,0.037591033
VOBL,0.041116499
VASU,-0.019910904
,
VIDP,0.058282981
ZHHH,0.011616136
VOBL,0.011612914
UDYZ,0.019340571
VAPO,0.024101582
OEJN,0.050133145
VOGO,0.063686423
VIDP,0.030883939
VIDP,0.02470241
VAUD,0.05937255
VILH,0.020520127
VIDP,0.040119528
,
VISR,0.036905097
WSSS,0.108308359
VABB,0.07421474
VRMM,0.014301221
VOMM,0.032701235
VIDP,0.02614168
VIDP,-0.008855819
VOBL,0.00584645
VEGT,0.064011993
VOBL,0.028134423
VOGO,0.005950115
VOBL,0.043932041
VECX,0.066338812
VOBL,0.037450879
VABB,0.027052703
VECC,0.051564874
VABB,0.059018615
VOHS,0.061233971
VOCI,-0.017302488
VIDP,0.024253193
VAAH,0.049626778
VABB,0.010831018
OMDB,
VAPO,0.030224255
VEKU,0.001332375
,
VABB,0.01270293
VOBL,0.065933384
VIBN,
VIDP,0.089972312
VABB,0.062483866
VECC,0.003331925
OMDB,
VECC,0.06282591
VEPT,0.055786298
VOPB,0.017525827
VECC,0.047360211
VABB,0.028216479
VOGO,0.006634255
VECC,0.057936809
VOMM,0.018268744
VAAH,0.081177913
VIJU,0.040283936
VOBL,
VGHS,0.071972473
VECC,0.036969991
,
VISR,0.003268871
VOBL,-0.023337241
VOBL,0.057372171
VEBD,0.03448347
VIDP,0.017825098
VIDP,-0.028200173
VAAH,0.001147219
VAAH,0.02746175
,
VOBL,0.04032635
VAAH,
VIJR,0.080195158
